region,mean_residual,mean_observed_z,n_obs,expr_Mapt,expr_Apoe,expr_Trem2
iAnterior amygdalar area,0.09660610138652227,-0.08118643860853506,24.0,1.1455171755604174,-0.582914753636068,-0.7961430261290445
iBasolat amygdalar nucleus,-0.34894126451396384,-0.08118643860853506,24.0,-0.08874578211479657,0.2736198747455051,-0.8068693513217318
iBasomed amygdalar nucleus,-0.2794242096205221,-0.08118643860853506,24.0,0.8686872085359119,0.1280979757770685,-0.8419743064083313
iCentral amygdalar nucleus,0.056726565140525285,-0.08118643860853506,24.0,0.19903421930799733,0.5014764406504584,-0.862339489761804
"iCortical amygdalar area, anterior part",0.06105818570377778,-0.08118643860853506,24.0,0.246647868629463,0.2946464897891008,-0.802754132259352
"iCortical amygdalar area, posterior part",-0.229244037995552,-0.08118643860853506,24.0,0.0395088451292958,-0.1408593267600453,-0.8258610550186806
iIntercalated amygdalar nucleus,0.19171863598130315,-0.08118643860853506,24.0,-0.033226098788253444,-0.28910396642360237,-0.8784954042927783
iLateral amygdalar nucleus,-0.013089960331940228,-0.08118643860853506,24.0,0.08742073059790634,-0.2535746395660379,-0.8652301920069471
iMedial amygdalar nucleus,-0.06060970719075428,-0.08118643860853506,24.0,-0.257108497226086,0.36705595361050103,-0.35987626529649874
iPosterior amygdalar nucleus,-0.11027371451018854,-0.08118643860853506,24.0,0.15174010081857323,1.7183759385696253,-0.7588444702807589
iPiriform-amygdalar area,-0.2046538975169656,-0.08118643860853506,24.0,-0.7755599474119248,-0.3621018552168154,-0.924784955409725
iAnsiform lobule,,,0.0,-3.23385132555094,-3.3151471541099196,-0.986782469826249
iCentral lobule,,,0.0,-2.016451935055812,0.7639777596901083,-0.672068215529515
iCulmen,,,0.0,-1.6439138866228176,0.09569596567861285,-0.5648883867172979
iFlocculus area,,,0.0,-1.9028204665398245,1.4640522078588818,-0.38842964574652294
iNodulus (X),,,0.0,-1.244429070473933,1.2650372525047273,-0.11314371973813454
iParaflocculus,,,0.0,-1.9685321658761075,0.46695490487783764,-0.39562309960806546
iParamedian lobule,,,0.0,-1.5815204281920767,-0.03277427561185109,-0.598017429175359
iPyramus (VIII),,,0.0,-1.1032837241381053,0.2717934761837446,-0.7141208485129262
iSimple lobule,,,0.0,-1.6996894032808885,0.19066659216393023,-0.429269665383239
iDentate nucleus,,,0.0,-1.4071271169536026,0.08862795352097809,-0.5984061428182037
iFastigial nucleus,,,0.0,-1.228384395513698,-0.640781944786376,-0.5316428579894978
iInterposed nucleus,,,0.0,-1.7725903234102993,0.1784283688557362,0.13021158646178907
iClaustrum,,,0.0,0.1622737773202759,-0.35600494933742194,-0.7899212360606784
"iEndopiriform nucleus, dorsal part",,,0.0,0.0550121558079846,-0.25973468460620197,-0.9341721464399876
"iEndopiriform nucleus, ventral part",,,0.0,0.5644357578787026,-0.3208402613896741,-0.9115258252566348
iDentate gyrus,-3.7660858914098623,1.9099790991519743,24.0,0.5874746276460068,0.7919917485470729,0.688435529274607
iField CA3,-1.0472688043509695,2.266761071006631,24.0,0.32869168411418204,-0.3240854655821483,0.279678570641447
iField CA2,,,0.0,-0.8784719183762861,-0.05451803573295264,0.046365114373225186
iField CA1,-0.5183429770025224,3.508194747770301,24.0,0.02641374553751115,-0.4611673580894297,-0.0517595017798575
"iSubiculum, dorsal part",-1.2603892935632866,1.7677664930325765,24.0,0.25195900571985674,-0.17206099516896198,0.28766935613778927
"iSubiculum, ventral part",-1.2632822918843614,1.7677664930325765,24.0,0.9032904201144326,0.17922244402540274,0.08621165673594014
iPresubiculum,-1.5357994103401047,1.7677664930325765,24.0,-0.2209063376849234,0.7140141019401184,2.6886561678053535
iParasubiculum,-1.4966347893175016,1.7677664930325765,24.0,-0.1047926072189218,0.5948961657091726,4.048998552858048
iPostsubiculum,-1.3491377650272263,1.7677664930325765,24.0,-0.2873878195776745,0.5855893804341413,0.9569318405930631
"iEntorhinal area, lateral part",-0.015151222888337396,1.0552508896147343,24.0,0.8145635446760354,0.46402424643669593,0.27886810773230836
"iEntorhinal area, medial part, dorsal zone",-0.7002297417502629,1.0552508896147343,24.0,0.8815800452588695,0.7993173423548947,1.0932758996058083
iAnterior hypo nucleus,-0.1037452850281259,0.2148845778179206,24.0,1.0185151002517798,-0.42702156999934854,-0.9285457298854816
iArcuate hypo nucleus,0.5474430011847823,0.2148845778179206,24.0,-0.1956408272453751,1.4036187581646342,0.62241014472256
iDorsomedial nucleus of the hypo,0.3543769928631087,0.2148845778179206,24.0,0.19071330862710387,1.8560146723624253,-0.4134389846793518
iLateral hypo area,-0.3296753280793203,0.2148845778179206,24.0,0.22362906004518973,-0.07392386307961789,-0.7535617587455536
iLateral preoptic area,0.0009946582047549262,0.2148845778179206,24.0,0.6400365185142741,1.3762599884234248,-0.9161037184064518
iMedian preoptic nucleus,0.40016068330233684,0.2148845778179206,24.0,0.9994585687215894,1.588257883507373,-0.7726809188011771
iMedial mammillary nucleus,-0.5411341066513554,0.2148845778179206,24.0,-0.768425572633959,-0.13514976359185177,0.31435859859277887
