model,family,seed_run,R,rho,dR,drho,dR2,R_persist,dR2_persist_zero
Persistence (no change),null,0,0.6526587182264103,0.5867918298032926,,,-3.7640777512129198,0.6526587182264103,-3.7640777512129198
NDM (ACS connectome),diffusion,0,0.6414754970200617,0.5796405490825038,-0.2855169949397894,-0.3265720081135903,-3.770472692036204,0.6526587182264103,-3.7640777512129198
NDM (HCP fibercount),diffusion,0,0.6436538172732733,0.5765649323081278,-0.021547731288780608,-0.10771262795414877,-3.7589520351982886,0.6526587182264103,-3.7640777512129198
FKPP (ACS connectome),diffusion,0,0.7037003472414528,0.5810179725458747,0.35221277126330214,0.18499929241945373,-0.09771172675250428,0.6526587182264103,-3.7640777512129198
FKPP + genes (MAPT/APOE/TREM2),diffusion+genes,0,0.7037003472414528,0.5810179725458747,0.35221277126330214,0.18499929241945373,-0.09771172675250428,0.6526587182264103,-3.7640777512129198
NDM on distance graph,null-network,0,0.6418101121439531,0.5831501485919147,-0.010912102190461976,-0.05969149488183405,-3.76074004418912,0.6526587182264103,-3.7640777512129198
FKPP on distance graph,null-network,0,0.7008238107320686,0.5835463936978159,0.3561714181997125,0.21754799754705406,-0.06933474875975176,0.6526587182264103,-3.7640777512129198
NDM on rewired connectome,null-network,0,0.6318340082990718,0.572772300580216,-0.4052311563720714,-0.38119722628425873,-3.7939775231641955,0.6526587182264103,-3.7640777512129198
FKPP on rewired connectome,null-network,0,0.6857709025440503,0.5679984904948346,0.3000314675280303,0.13448747582433135,-0.15144452987254753,0.6526587182264103,-3.7640777512129198
TauODE (no genes),gnn,0,0.6987090691517253,0.577168734374263,0.32640297852526484,0.3488560781168923,-2.16444515532463,0.6526587182264103,-3.7640777512129198
TauODE (no genes),gnn,1,0.6987538571516712,0.577168734374263,0.3258003468577335,0.35212038303693566,-2.1824636163387914,0.6526587182264103,-3.7640777512129198
TauODE + genes (MAPT/APOE/TREM2),gnn+genes,0,0.793941982895759,0.7113260059436766,0.5170407100880187,0.532449643851125,-1.8507887618689973,0.6526587182264103,-3.7640777512129198
TauODE + genes (MAPT/APOE/TREM2),gnn+genes,1,0.7830103204807405,0.7113071371291099,0.493158072555802,0.5311288268314542,-1.9919440219995006,0.6526587182264103,-3.7640777512129198
