task,fold,held_out,model,family,seed_run,timepoint,train_R,n_params,R,rho,R_log,dR,drho,dR2,R_persist,dR2_persist_zero
A,0,DS1,Persistence (seed only),null,0,4.0,0.4413157447630943,0,-0.00734658874230293,-0.007346588742302916,-0.007346588742302927,,,-0.0011467889908252094,-0.00734658874230293,-0.0011467889908252094
A,0,DS1,Persistence (seed only),null,0,8.0,0.4413157447630943,0,-0.019290955278146938,-0.019290955278147035,-0.01929095527814712,,,-0.014607754733994227,-0.019290955278146938,-0.014607754733994227
A,0,DS1,Persistence (seed only),null,0,12.0,0.4413157447630943,0,-0.08141791912817362,-0.08587648944330932,-0.08870540730169589,,,-0.9471528062269559,-0.08141791912817362,-0.9471528062269559
A,0,DS1,NDM retrograde,diffusion,0,4.0,0.4558429535930261,1,-0.00844623082761142,0.011846018402238916,-0.010277696558922567,0.845153744901083,0.08237286842653486,0.24592943012306334,-0.00734658874230293,-0.0011467889908252094
A,0,DS1,NDM retrograde,diffusion,0,8.0,0.4558429535930261,1,-0.022685039607344616,0.17503875696309937,-0.02509407490113365,0.6835548136343994,0.20485553885059501,0.24619227768243557,-0.019290955278146938,-0.014607754733994227
A,0,DS1,NDM retrograde,diffusion,0,12.0,0.4558429535930261,1,-0.1095848496143609,-0.35123050247844256,-0.1416061255228713,0.38894793369516517,-0.32056326751706415,-0.8494470956482909,-0.08141791912817362,-0.9471528062269559
A,0,DS1,NDM anterograde,diffusion,0,4.0,0.4425265967306903,1,-0.007520459718031121,0.14215222082686702,-0.007916234715145349,0.8706335406633404,0.18849287009315185,0.07577979592926654,-0.00734658874230293,-0.0011467889908252094
A,0,DS1,NDM anterograde,diffusion,0,8.0,0.4425265967306903,1,-0.013286498160537695,0.025215888227071097,0.0004059913286102348,0.7418931552990216,0.06085518597979679,0.08395513254412168,-0.019290955278146938,-0.014607754733994227
A,0,DS1,NDM anterograde,diffusion,0,12.0,0.4425265967306903,1,-0.08789962901198732,-0.4258141377085062,-0.10932111448887687,0.39965850602263553,-0.39537711169429607,-0.9080756955830407,-0.08141791912817362,-0.9471528062269559
A,0,DS1,NDM bidirectional,diffusion,0,4.0,0.46040128449770734,2,-0.009067095418978037,0.10570293343536263,-0.011152461092025244,0.8708632496422177,0.15880895354304922,0.40308083365048875,-0.00734658874230293,-0.0011467889908252094
A,0,DS1,NDM bidirectional,diffusion,0,8.0,0.46040128449770734,2,-0.015793504528549378,0.13233739879754833,-0.006741899970818205,0.7160994457120596,0.16381366923631344,0.3713462782188577,-0.019290955278146938,-0.014607754733994227
A,0,DS1,NDM bidirectional,diffusion,0,12.0,0.46040128449770734,2,-0.13089067545673236,-0.48109299809545253,-0.17026249787346268,0.41123089891494324,-0.4497283624428798,-0.8144353197965006,-0.08141791912817362,-0.9471528062269559
A,0,DS1,FKPP / NexIS (no genes),diffusion,0,4.0,0.5082780133792856,3,-0.010472168670909698,0.10934786217451307,-0.0129085151096402,0.48767323606051116,0.16177734519805947,0.19304965064767343,-0.00734658874230293,-0.0011467889908252094
A,0,DS1,FKPP / NexIS (no genes),diffusion,0,8.0,0.5082780133792856,3,0.008896286627685034,0.13160116848434916,0.04255540207647162,0.19587251598180103,0.16310605079468793,-0.08754357722284833,-0.019290955278146938,-0.014607754733994227
A,0,DS1,FKPP / NexIS (no genes),diffusion,0,12.0,0.5082780133792856,3,-0.23281288869587785,-0.5084194669220151,-0.34457725719188875,-0.14323293547813792,-0.4769140400022249,-1.0608664929188683,-0.08141791912817362,-0.9471528062269559
A,0,DS1,NexIS + genes (MAPT/APOE/TREM2),diffusion+genes,0,4.0,0.49056857746926397,6,-0.010403849695160906,0.10205800469621222,-0.012825667707652106,0.7750263129321909,0.15584056188803894,0.41063366791693845,-0.00734658874230293,-0.0011467889908252094
A,0,DS1,NexIS + genes (MAPT/APOE/TREM2),diffusion+genes,0,8.0,0.49056857746926397,6,-0.013681317851421428,0.13969970192953987,0.0020777415722343087,0.552081788521194,0.17088985365256887,0.28575868625036194,-0.019290955278146938,-0.014607754733994227
A,0,DS1,NexIS + genes (MAPT/APOE/TREM2),diffusion+genes,0,12.0,0.49056857746926397,6,-0.22010810719435217,-0.5034011039508521,-0.28716173566048186,0.09616484870917477,-0.47210909554671254,-0.8982201311895441,-0.08141791912817362,-0.9471528062269559
A,0,DS1,NDM on distance graph,null-network,0,4.0,0.44434284091137255,1,-0.007587950417454686,-0.0018224643695752179,-0.00804716316880533,0.943039743801152,0.07124139972024637,0.4712721852313332,-0.00734658874230293,-0.0011467889908252094
A,0,DS1,NDM on distance graph,null-network,0,8.0,0.44434284091137255,1,-0.019870004543347475,-0.11098671971477278,-0.020669184396764496,0.7584098943136124,-0.07005422572092887,0.4255829260410777,-0.019290955278146938,-0.014607754733994227
A,0,DS1,NDM on distance graph,null-network,0,12.0,0.44434284091137255,1,-0.07399268257295302,0.19708879344952593,-0.07755081387247129,0.4728375807371695,0.22401111624441045,-0.7855523094241965,-0.08141791912817362,-0.9471528062269559
A,0,DS1,FKPP on distance graph,null-network,0,4.0,0.4484070106717672,2,-0.007991860926785653,-0.002733696554362827,-0.00916105779379369,0.9420335507785841,0.0704993018064938,0.48912285615442996,-0.00734658874230293,-0.0011467889908252094
A,0,DS1,FKPP on distance graph,null-network,0,8.0,0.4484070106717672,2,-0.021848046534689223,-0.10840991361857576,-0.025620954720665546,0.7541167521556899,-0.06757756117523946,0.38915334815233016,-0.019290955278146938,-0.014607754733994227
A,0,DS1,FKPP on distance graph,null-network,0,12.0,0.4484070106717672,2,-0.03744422264087345,0.19747313197029337,-0.017883056798243084,0.5017706815144863,0.22438578859639982,-0.5205279293933598,-0.08141791912817362,-0.9471528062269559
A,0,DS1,NDM on rewired connectome,null-network,0,4.0,0.45432463915785604,2,-0.007053119298360554,0.1321286667942033,-0.006253757608996027,0.9311833788721396,0.18032979304187366,0.3435821643680973,-0.00734658874230293,-0.0011467889908252094
A,0,DS1,NDM on rewired connectome,null-network,0,8.0,0.45432463915785604,2,-0.02288807939960437,0.004601439457494726,-0.027799086307970605,0.7471744470770458,0.04104186961428156,0.3352484673651078,-0.019290955278146938,-0.014607754733994227
A,0,DS1,NDM on rewired connectome,null-network,0,12.0,0.45432463915785604,2,-0.11032840787913793,-0.3268030442085256,-0.15459536903453985,0.4416779037230666,-0.297047551337205,-0.8184964819726366,-0.08141791912817362,-0.9471528062269559
A,0,DS1,FKPP on rewired connectome,null-network,0,4.0,0.4549650200235956,3,-0.007071882776960171,0.1303062024246281,-0.0062765400433522755,0.9234941017316982,0.17884559721436852,0.28703443002453577,-0.00734658874230293,-0.0011467889908252094
A,0,DS1,FKPP on rewired connectome,null-network,0,8.0,0.4549650200235956,3,-0.023216326987028985,0.0034970939876959916,-0.028946511183709712,0.732914972787183,0.03998044195184324,0.26956341631898617,-0.019290955278146938,-0.014607754733994227
A,0,DS1,FKPP on rewired connectome,null-network,0,12.0,0.4549650200235956,3,-0.11466850884002719,-0.3249801815100288,-0.1689411407324664,0.4077029758635145,-0.29523450268757845,-0.8393076350359732,-0.08141791912817362,-0.9471528062269559
A,0,DS1,FKPP with shuffled seed,null-network,0,4.0,0.11431898301031954,3,0.19841600776122145,0.12393042879660777,0.16113860798426918,0.7026618382112036,0.17217067767446262,-0.44299639866477025,-0.00734658874230293,-0.0011467889908252094
A,0,DS1,FKPP with shuffled seed,null-network,0,8.0,0.11431898301031954,3,0.0650969923153538,0.08577379201449532,0.08156881386420997,0.12287883504166432,0.11623034078732229,-146.26075063528538,-0.019290955278146938,-0.014607754733994227
A,0,DS1,FKPP with shuffled seed,null-network,0,12.0,0.11431898301031954,3,-0.379730580409212,-0.35050588497671104,-0.3299068058087847,-0.2938119823806638,-0.3286794526533897,-76.88337209650956,-0.08141791912817362,-0.9471528062269559
A,0,DS1,TauODE (no genes),gnn,0,4.0,0.07169920206069946,34,-0.00854654585602485,0.12301634494632722,-0.010259739632775251,0.8144973012963056,0.17290881390434798,0.2586157677339027,-0.00734658874230293,-0.0011467889908252094
A,0,DS1,TauODE (no genes),gnn,0,8.0,0.07169920206069946,34,-0.007499616836804774,0.0973664589205884,0.01477672588548808,0.6380794702326403,0.1302017932591001,0.22343530466595762,-0.019290955278146938,-0.014607754733994227
A,0,DS1,TauODE (no genes),gnn,0,12.0,0.07169920206069946,34,-0.12097077517291925,-0.504900024181845,-0.1669140323336836,0.2824930371556833,-0.4734624851888985,-0.8665300742328508,-0.08141791912817362,-0.9471528062269559
A,0,DS1,TauODE + genes (MAPT/APOE/TREM2),gnn+genes,0,4.0,0.06902384757995605,64,-0.00887059740936963,0.12301634494632722,-0.010668027947631468,0.8104087675940002,0.17290881390434798,0.31170324726897525,-0.00734658874230293,-0.0011467889908252094
A,0,DS1,TauODE + genes (MAPT/APOE/TREM2),gnn+genes,0,8.0,0.06902384757995605,64,-0.004366540687072776,0.11245918034117108,0.020942350678761556,0.6261630505806706,0.14470797131242374,0.25562394654142584,-0.019290955278146938,-0.014607754733994227
A,0,DS1,TauODE + genes (MAPT/APOE/TREM2),gnn+genes,0,12.0,0.06902384757995605,64,-0.13448158675685126,-0.5313150616591592,-0.18661278584409327,0.2608276279698787,-0.4997325000733819,-0.8587619330784542,-0.08141791912817362,-0.9471528062269559
A,0,DS1,TauODE no-MLP (no genes),gnn-ablation,0,4.0,0.07183551788330078,8,-0.008534690264676802,0.12301634494632722,-0.010238593144955902,0.8167974940639996,0.17290881390434798,0.2589643088663033,-0.00734658874230293,-0.0011467889908252094
A,0,DS1,TauODE no-MLP (no genes),gnn-ablation,0,8.0,0.07183551788330078,8,-0.007714144257092243,0.0973664589205884,0.014225480689911817,0.6428063725190339,0.1302017932591001,0.22498894234789313,-0.019290955278146938,-0.014607754733994227
A,0,DS1,TauODE no-MLP (no genes),gnn-ablation,0,12.0,0.07183551788330078,8,-0.12015930131788931,-0.5043619502527706,-0.16561810246694197,0.28982969289556165,-0.4729269778760552,-0.8656555248597029,-0.08141791912817362,-0.9471528062269559
A,0,DS1,TauODE no-MLP + genes,gnn-ablation,0,4.0,0.06732481718063354,14,-0.008880284767331421,0.12301634494632722,-0.010701036786718843,0.7911308866884926,0.17290881390434798,0.2927494720570639,-0.00734658874230293,-0.0011467889908252094
A,0,DS1,TauODE no-MLP + genes,gnn-ablation,0,8.0,0.06732481718063354,14,-0.004228755588413221,0.11282729549777067,0.021731908289058622,0.6035469218085053,0.14506178053323654,0.23894296841822793,-0.019290955278146938,-0.014607754733994227
A,0,DS1,TauODE no-MLP + genes,gnn-ablation,0,12.0,0.06732481718063354,14,-0.13478073854273748,-0.5323417945646378,-0.1874023131932062,0.23590873032152745,-0.5007550814438114,-0.865073250827626,-0.08141791912817362,-0.9471528062269559
